"File","Line","Kind","Class","Visibility","Function","ThisCalls","ObjCalls","StaticCalls","RouteRef","Status"
"app\Commands\DiagnoseLogin.php","15","php_method","DiagnoseLogin","public","run","0","1","0","0","TERREFERENSI"
"app\Commands\DiagnoseLogin.php","31","php_method","DiagnoseLogin","private","checkEnvironment","1","1","0","0","TERREFERENSI"
"app\Commands\DiagnoseLogin.php","44","php_method","DiagnoseLogin","private","checkDatabase","1","1","0","0","TERREFERENSI"
"app\Commands\DiagnoseLogin.php","88","php_method","DiagnoseLogin","private","checkSession","1","1","0","0","TERREFERENSI"
"app\Commands\DiagnoseLogin.php","116","php_method","DiagnoseLogin","private","checkPermissions","1","1","0","0","TERREFERENSI"
"app\Commands\DiagnoseLogin.php","143","php_method","DiagnoseLogin","private","checkEncryption","1","1","0","0","TERREFERENSI"
"app\Commands\DiagnoseLogin.php","164","php_method","DiagnoseLogin","private","checkUsers","1","1","0","0","TERREFERENSI"
"app\Config\Database.php","193","php_method","Database","public","__construct","0","0","1","0","TERREFERENSI"
"app\Config\Exceptions.php","102","php_method","Exceptions","public","handler","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Config\Mimes.php","491","php_method","Mimes","public","guessTypeFromExtension","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Config\Mimes.php","509","php_method","Mimes","public","guessExtensionFromType","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Controllers\Auth.php","19","php_method","Auth","public","__construct","0","0","1","0","TERREFERENSI"
"app\Controllers\Auth.php","24","php_method","Auth","public","index","0","0","0","1","TERREFERENSI"
"app\Controllers\Auth.php","41","php_method","Auth","public","login","0","0","0","1","TERREFERENSI"
"app\Controllers\Auth.php","211","php_method","Auth","public","registerForm","0","0","0","1","TERREFERENSI"
"app\Controllers\Auth.php","222","php_method","Auth","public","register","0","0","0","1","TERREFERENSI"
"app\Controllers\Auth.php","344","php_method","Auth","public","logout","0","0","0","1","TERREFERENSI"
"app\Controllers\Auth.php","367","php_method","Auth","private","attemptRememberLogin","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","400","php_method","Auth","private","setSessionUser","2","2","0","0","TERREFERENSI"
"app\Controllers\Auth.php","427","php_method","Auth","private","findUserByIdentity","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","439","php_method","Auth","private","findUserById","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","446","php_method","Auth","private","extractUserId","5","5","0","0","TERREFERENSI"
"app\Controllers\Auth.php","455","php_method","Auth","private","extractRole","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","464","php_method","Auth","private","extractName","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","477","php_method","Auth","private","setRememberCookie","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","499","php_method","Auth","private","clearRememberCookie","5","5","0","0","TERREFERENSI"
"app\Controllers\Auth.php","504","php_method","Auth","private","encryptRememberToken","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","520","php_method","Auth","private","decryptRememberToken","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","543","php_method","Auth","private","rememberKey","2","2","0","0","TERREFERENSI"
"app\Controllers\Auth.php","553","php_method","Auth","private","base64UrlEncode","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","558","php_method","Auth","private","base64UrlDecode","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","568","php_method","Auth","private","hasUserColumn","21","21","0","0","TERREFERENSI"
"app\Controllers\Auth.php","577","php_method","Auth","private","mapLegacyRole","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","590","php_method","Auth","private","ensureSessionDirectory","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","606","php_method","Auth","private","logError","7","7","0","0","TERREFERENSI"
"app\Controllers\Auth.php","614","php_method","Auth","private","logInfo","1","1","0","0","TERREFERENSI"
"app\Controllers\BaseController.php","33","php_method","","public","initController","0","0","2","0","TERREFERENSI"
"app\Controllers\Dashboard.php","12","php_method","Dashboard","public","index","0","0","0","1","TERREFERENSI"
"app\Controllers\Dokumen.php","13","php_method","Dokumen","public","__construct","0","0","1","0","TERREFERENSI"
"app\Controllers\Dokumen.php","19","php_method","Dokumen","public","index","0","0","0","1","TERREFERENSI"
"app\Controllers\Dokumen.php","33","php_method","Dokumen","public","create","0","0","0","1","TERREFERENSI"
"app\Controllers\Dokumen.php","47","php_method","Dokumen","public","store","0","0","0","1","TERREFERENSI"
"app\Controllers\Dokumen.php","75","php_method","Dokumen","public","markEntry","0","0","0","1","TERREFERENSI"
"app\Controllers\Dokumen.php","90","php_method","Dokumen","public","reportError","0","0","0","1","TERREFERENSI"
"app\Controllers\Home.php","7","php_method","Home","public","index","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Controllers\KartuKendali.php","15","php_method","KartuKendali","public","__construct","0","0","1","0","TERREFERENSI"
"app\Controllers\KartuKendali.php","25","php_method","KartuKendali","public","index","0","0","0","1","TERREFERENSI"
"app\Controllers\KartuKendali.php","38","php_method","KartuKendali","public","detail","0","0","0","1","TERREFERENSI"
"app\Controllers\KartuKendali.php","120","php_method","KartuKendali","public","store","0","0","0","1","TERREFERENSI"
"app\Controllers\KartuKendali.php","191","php_method","KartuKendali","public","delete","0","6","0","1","TERREFERENSI"
"app\Controllers\Kegiatan.php","11","php_method","Kegiatan","public","__construct","0","0","1","0","TERREFERENSI"
"app\Controllers\Kegiatan.php","16","php_method","Kegiatan","public","index","0","0","0","1","TERREFERENSI"
"app\Controllers\Kegiatan.php","30","php_method","Kegiatan","public","store","0","0","0","1","TERREFERENSI"
"app\Controllers\Kegiatan.php","62","php_method","Kegiatan","public","updateStatus","0","0","0","1","TERREFERENSI"
"app\Controllers\Kegiatan.php","74","php_method","Kegiatan","public","delete","0","6","0","1","TERREFERENSI"
"app\Controllers\Laporan.php","20","php_method","Laporan","public","__construct","0","0","1","0","TERREFERENSI"
"app\Controllers\Laporan.php","29","php_method","Laporan","private","getFilters","3","3","0","0","TERREFERENSI"
"app\Controllers\Laporan.php","41","php_method","Laporan","public","index","0","0","0","1","TERREFERENSI"
"app\Controllers\Laporan.php","96","php_method","Laporan","public","exportExcel","0","0","0","1","TERREFERENSI"
"app\Controllers\Laporan.php","184","php_method","Laporan","public","exportPdf","0","0","0","1","TERREFERENSI"
"app\Controllers\Laporan.php","225","php_method","Laporan","public","pcl","0","0","0","1","TERREFERENSI"
"app\Controllers\Laporan.php","247","php_method","Laporan","public","pengolahan","0","0","0","1","TERREFERENSI"
"app\Controllers\Logistik.php","11","php_method","Logistik","public","__construct","0","0","1","0","TERREFERENSI"
"app\Controllers\Logistik.php","16","php_method","Logistik","public","index","0","0","0","1","TERREFERENSI"
"app\Controllers\Monitoring.php","14","php_method","Monitoring","public","__construct","0","0","1","0","TERREFERENSI"
"app\Controllers\Monitoring.php","21","php_method","Monitoring","public","index","0","0","0","1","TERREFERENSI"
"app\Controllers\Presensi.php","17","php_method","Presensi","public","__construct","0","0","1","0","TERREFERENSI"
"app\Controllers\Presensi.php","22","php_method","Presensi","public","index","0","0","0","1","TERREFERENSI"
"app\Controllers\Presensi.php","50","php_method","Presensi","public","submit","0","0","0","1","TERREFERENSI"
"app\Controllers\Presensi.php","204","php_method","Presensi","private","decodeBase64Image","1","1","0","0","TERREFERENSI"
"app\Controllers\Presensi.php","221","php_method","Presensi","private","distanceInMeter","1","1","0","0","TERREFERENSI"
"app\Controllers\Presensi.php","235","php_method","Presensi","private","nowInJakarta","2","2","0","0","TERREFERENSI"
"app\Controllers\Presensi.php","240","php_method","Presensi","private","todayDate","1","1","0","0","TERREFERENSI"
"app\Controllers\Presensi.php","245","php_method","Presensi","private","jsonResponse","15","15","0","0","TERREFERENSI"
"app\Controllers\TandaTerima.php","13","php_method","TandaTerima","public","__construct","0","0","1","0","TERREFERENSI"
"app\Controllers\TandaTerima.php","19","php_method","TandaTerima","public","index","0","0","0","1","TERREFERENSI"
"app\Controllers\TandaTerima.php","37","php_method","TandaTerima","public","new","0","0","3","1","TERREFERENSI"
"app\Controllers\TandaTerima.php","48","php_method","TandaTerima","public","store","0","0","0","1","TERREFERENSI"
"app\Controllers\TandaTerima.php","71","php_method","TandaTerima","public","edit","0","0","0","1","TERREFERENSI"
"app\Controllers\TandaTerima.php","89","php_method","TandaTerima","public","update","0","10","0","1","TERREFERENSI"
"app\Controllers\TandaTerima.php","115","php_method","TandaTerima","public","delete","0","6","0","1","TERREFERENSI"
"app\Controllers\UjiPetik.php","13","php_method","UjiPetik","public","__construct","0","0","1","0","TERREFERENSI"
"app\Controllers\UjiPetik.php","22","php_method","UjiPetik","public","index","0","0","0","1","TERREFERENSI"
"app\Controllers\UjiPetik.php","35","php_method","UjiPetik","public","new","0","0","3","1","TERREFERENSI"
"app\Controllers\UjiPetik.php","49","php_method","UjiPetik","public","edit","0","0","0","1","TERREFERENSI"
"app\Controllers\UjiPetik.php","69","php_method","UjiPetik","public","store","0","0","0","1","TERREFERENSI"
"app\Controllers\UjiPetik.php","104","php_method","UjiPetik","public","update","0","10","0","1","TERREFERENSI"
"app\Controllers\UjiPetik.php","144","php_method","UjiPetik","public","delete","0","6","0","1","TERREFERENSI"
"app\Database\Migrations\2026-02-15-151500_CreatePresensiTable.php","9","php_method","CreatePresensiTable","public","up","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Migrations\2026-02-15-151500_CreatePresensiTable.php","86","php_method","CreatePresensiTable","public","down","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Migrations\2026-02-15-161000_EnsureUsersAuthColumns.php","9","php_method","EnsureUsersAuthColumns","public","up","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Migrations\2026-02-15-161000_EnsureUsersAuthColumns.php","98","php_method","EnsureUsersAuthColumns","public","down","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Migrations\2026-02-15-164058_CreateKartuKendaliTable.php","9","php_method","CreateKartuKendaliTable","public","up","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Migrations\2026-02-15-164058_CreateKartuKendaliTable.php","66","php_method","CreateKartuKendaliTable","public","down","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Migrations\2026-02-15-170528_CreateUjiPetikTable.php","9","php_method","CreateUjiPetikTable","public","up","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Migrations\2026-02-15-170528_CreateUjiPetikTable.php","63","php_method","CreateUjiPetikTable","public","down","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Migrations\2026-02-15-173500_CreateLogistikTable.php","9","php_method","CreateLogistikTable","public","up","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Migrations\2026-02-15-173500_CreateLogistikTable.php","70","php_method","CreateLogistikTable","public","down","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Migrations\2026-02-16-000000_CreateLoginAttemptsTable.php","9","php_method","CreateLoginAttemptsTable","public","up","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Migrations\2026-02-16-000000_CreateLoginAttemptsTable.php","52","php_method","CreateLoginAttemptsTable","public","down","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Migrations\2026-02-16-152200_AlignKartuKendaliNksCollation.php","9","php_method","AlignKartuKendaliNksCollation","public","up","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Migrations\2026-02-16-152200_AlignKartuKendaliNksCollation.php","24","php_method","AlignKartuKendaliNksCollation","public","down","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Database\Seeds\AdminSeeder.php","9","php_method","AdminSeeder","public","run","0","1","0","0","TERREFERENSI"
"app\Database\Seeds\KartuKendaliTestSeeder.php","9","php_method","KartuKendaliTestSeeder","public","run","0","1","0","0","TERREFERENSI"
"app\Database\Seeds\UserDummySeeder.php","32","php_method","UserDummySeeder","public","run","0","1","0","0","TERREFERENSI"
"app\Database\Seeds\UserDummySeeder.php","329","php_method","UserDummySeeder","private","writeLog","3","3","0","0","TERREFERENSI"
"app\Database\Seeds\UserSeeder.php","9","php_method","UserSeeder","public","run","0","1","0","0","TERREFERENSI"
"app\Filters\AuthFilter.php","11","php_method","AuthFilter","public","before","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Filters\AuthFilter.php","20","php_method","AuthFilter","public","after","0","0","0","0","LIFECYCLE_FRAMEWORK"
"app\Models\DokumenModel.php","35","php_method","DokumenModel","public","getDokumenWithRelations","0","1","0","0","TERREFERENSI"
"app\Models\DokumenModel.php","51","php_method","DokumenModel","public","getPclPerformance","0","2","0","0","TERREFERENSI"
"app\Models\DokumenModel.php","70","php_method","DokumenModel","public","getProcessorPerformance","0","2","0","0","TERREFERENSI"
"app\Models\KartuKendaliModel.php","50","php_method","KartuKendaliModel","public","getProgressByNks","0","1","0","0","TERREFERENSI"
"app\Models\KartuKendaliModel.php","89","php_method","KartuKendaliModel","public","getEntriesByNks","0","1","0","0","TERREFERENSI"
"app\Models\KartuKendaliModel.php","106","php_method","KartuKendaliModel","public","isRutaTaken","0","1","0","0","TERREFERENSI"
"app\Models\LaporanModel.php","16","php_method","LaporanModel","public","getStatusSummary","0","1","0","0","TERREFERENSI"
"app\Models\LaporanModel.php","40","php_method","LaporanModel","public","getTargetVsRealisasi","0","1","0","0","TERREFERENSI"
"app\Models\LaporanModel.php","81","php_method","LaporanModel","public","getDokumenList","0","3","0","0","TERREFERENSI"
"app\Models\LaporanModel.php","116","php_method","LaporanModel","public","getSummaryStats","0","2","0","0","TERREFERENSI"
"app\Models\LoginAttemptModel.php","33","php_method","LoginAttemptModel","private","isTableAvailable","4","4","0","0","TERREFERENSI"
"app\Models\LoginAttemptModel.php","51","php_method","LoginAttemptModel","public","logAttempt","0","4","0","0","TERREFERENSI"
"app\Models\LoginAttemptModel.php","74","php_method","LoginAttemptModel","public","getFailedAttemptsCount","0","1","0","0","TERREFERENSI"
"app\Models\LoginAttemptModel.php","95","php_method","LoginAttemptModel","public","getFailedAttemptsCountByUsername","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Models\LoginAttemptModel.php","116","php_method","LoginAttemptModel","public","clearOldAttempts","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Models\UjiPetikModel.php","51","php_method","UjiPetikModel","public","getAllWithNks","0","1","0","0","TERREFERENSI"
"app\Views\auth\login.php","246","php_method","","public","updatePasswordVisibility","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Views\auth\login.php","304","php_method","","public","setLoading","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Views\errors\html\debug.js","4","js_function","","n/a","init","0","0","0","0","TERREFERENSI"
"app\Views\errors\html\debug.js","51","js_function","","n/a","showTab","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Views\errors\html\debug.js","75","js_function","","n/a","getFirstChildWithTagName","0","0","0","0","TERREFERENSI"
"app\Views\errors\html\debug.js","86","js_function","","n/a","getHash","0","0","0","0","TERREFERENSI"
"app\Views\errors\html\debug.js","92","js_function","","n/a","toggle","0","0","0","0","TERREFERENSI"
"app\Views\presensi\index.php","131","php_method","","public","setButtonLoading","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Views\presensi\index.php","160","php_method","","public","initLocation","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Views\presensi\index.php","182","php_method","","public","capturePhoto","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Views\presensi\index.php","201","php_method","","public","refreshCsrf","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Views\welcome_message.php","319","php_method","","public","toggleMenu","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\check-migrations.ps1","19","ps_function","","n/a","Get-MigrationFiles","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\check-migrations.ps1","49","ps_function","","n/a","Check-MigrationStatus","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\check-migrations.ps1","77","ps_function","","n/a","Display-MigrationList","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\check-migrations.ps1","100","ps_function","","n/a","Show-MigrationCommands","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\check-migrations.ps1","138","ps_function","","n/a","Analyze-Migrations","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\generate-api-docs.ps1","22","ps_function","","n/a","Get-ControllerMethods","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\generate-api-docs.ps1","53","ps_function","","n/a","Get-HttpMethod","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\generate-api-docs.ps1","74","ps_function","","n/a","Generate-ApiDocs","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\setup.ps1","34","ps_function","","n/a","New-GitHook","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","14","ps_function","","n/a","Write-Log","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","63","ps_function","","n/a","Write-LogDebug","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","70","ps_function","","n/a","Write-LogInfo","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","75","ps_function","","n/a","Write-LogWarning","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","80","ps_function","","n/a","Write-LogError","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","85","ps_function","","n/a","Write-LogSuccess","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","94","ps_function","","n/a","Send-Notification","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","177","ps_function","","n/a","Get-GitStatus","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","210","ps_function","","n/a","Test-GitRepo","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","223","ps_function","","n/a","Get-ModifiedFiles","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","236","ps_function","","n/a","Get-UnboundFiles","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","249","ps_function","","n/a","Invoke-RetryableCommand","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","309","ps_function","","n/a","New-Checkpoint","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","329","ps_function","","n/a","Invoke-Rollback","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","358","ps_function","","n/a","Test-CodeQuality","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","403","ps_function","","n/a","Test-UnitTests","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","443","ps_function","","n/a","Test-ShouldExcludeFile","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\git-automation\utils.ps1","462","ps_function","","n/a","Get-FilteredFiles","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\tmp-sidebar-compare.mjs","12","js_function","","n/a","runCapture","0","0","0","0","TERREFERENSI"
"scripts\update-docs.ps1","27","ps_function","","n/a","Update-Changelog","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\update-docs.ps1","77","ps_function","","n/a","Get-ProjectStructure","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\update-docs.ps1","131","ps_function","","n/a","Update-StructureDoc","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"scripts\update-docs.ps1","259","ps_function","","n/a","Update-FeaturesDoc","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\_support\Database\Migrations\2020-02-22-222222_example_migration.php","11","php_method","ExampleMigration","public","up","0","0","0","0","LIFECYCLE_FRAMEWORK"
"tests\_support\Database\Migrations\2020-02-22-222222_example_migration.php","33","php_method","ExampleMigration","public","down","0","0","0","0","LIFECYCLE_FRAMEWORK"
"tests\_support\Database\Seeds\ExampleSeeder.php","9","php_method","ExampleSeeder","public","run","0","1","0","0","TERREFERENSI"
"tests\_support\Libraries\ConfigReader.php","16","php_method","ConfigReader","public","__construct","0","0","1","0","TERREFERENSI"
"tests\database\ExampleDatabaseTest.php","17","php_method","","public","testModelFindAll","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\database\ExampleDatabaseTest.php","28","php_method","","public","testSoftDeleteLeavesRow","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\feature\AuthTest.php","14","php_method","","protected","setUp","0","0","3","0","TERREFERENSI"
"tests\feature\AuthTest.php","72","php_method","","public","testLoginSuccess","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\feature\AuthTest.php","87","php_method","","public","testLoginWrongPassword","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\feature\AuthTest.php","101","php_method","","public","testDashboardWithoutLoginRedirectToLogin","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\integration\LoginFlowTest.php","19","php_method","LoginFlowTest","protected","setUp","0","0","3","0","TERREFERENSI"
"tests\integration\LoginFlowTest.php","36","php_method","LoginFlowTest","public","testCompleteLoginFlow","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\integration\LoginFlowTest.php","72","php_method","LoginFlowTest","public","testLoginWithRememberMe","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\integration\LoginFlowTest.php","88","php_method","LoginFlowTest","public","testAuthFilterBlocksUnauthenticatedAccess","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\integration\LoginFlowTest.php","100","php_method","LoginFlowTest","public","testLoginAttemptsAreLogged","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\integration\LoginFlowTest.php","120","php_method","LoginFlowTest","public","testFailedLoginAttemptsAreLogged","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\integration\LoginFlowTest.php","141","php_method","LoginFlowTest","public","testSessionRegenerationOnLogin","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\integration\LoginFlowTest.php","159","php_method","LoginFlowTest","public","testDatabaseConnectionErrorHandling","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\session\ExampleSessionTest.php","10","php_method","","public","testSessionSimple","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\unit\AuthTest.php","19","php_method","AuthTest","protected","setUp","0","0","3","0","TERREFERENSI"
"tests\unit\AuthTest.php","36","php_method","AuthTest","public","testLoginPageLoads","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\unit\AuthTest.php","46","php_method","AuthTest","public","testLoginWithValidCredentials","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\unit\AuthTest.php","58","php_method","AuthTest","public","testLoginWithInvalidPassword","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\unit\AuthTest.php","70","php_method","AuthTest","public","testLoginWithNonExistentUser","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\unit\AuthTest.php","81","php_method","AuthTest","public","testLoginWithEmptyCredentials","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\unit\AuthTest.php","93","php_method","AuthTest","public","testLoginWithInactiveAccount","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\unit\AuthTest.php","117","php_method","AuthTest","public","testLoginWithEmail","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\unit\AuthTest.php","128","php_method","AuthTest","public","testRateLimitingAfterMultipleFailedAttempts","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\unit\AuthTest.php","149","php_method","AuthTest","public","testLogoutClearsSession","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\unit\AuthTest.php","170","php_method","AuthTest","public","testSessionPersistsAfterLogin","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\unit\HealthTest.php","12","php_method","","public","testIsDefinedAppPath","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"tests\unit\HealthTest.php","17","php_method","","public","testBaseUrlHasBeenSet","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
